Date,Time,Temp (°C) c:1,Coupler Attached,Host Connected,Stopped,End Of File
07/20/21,14:00:00,24.351,,,,
07/20/21,14:15:00,24.545,,,,
07/20/21,14:30:00,24.738,,,,
07/20/21,14:45:00,24.738,,,,
07/20/21,15:00:00,24.835,,,,
07/20/21,15:15:00,25.028,,,,
07/20/21,15:30:00,25.125,,,,
07/20/21,15:45:00,26.000,,,,
07/20/21,16:00:00,24.835,,,,
07/20/21,16:15:00,25.513,,,,
07/20/21,16:30:00,26.585,,,,
07/20/21,16:45:00,25.708,,,,
07/20/21,17:00:00,25.416,,,,
07/20/21,17:15:00,24.641,,,,
07/20/21,17:30:00,24.835,,,,
07/20/21,17:45:00,24.835,,,,
07/20/21,18:00:00,24.931,,,,
07/20/21,18:15:00,25.028,,,,
07/20/21,18:30:00,25.028,,,,
07/20/21,18:45:00,25.028,,,,
07/20/21,19:00:00,25.028,,,,
07/20/21,19:15:00,24.931,,,,
07/20/21,19:30:00,25.028,,,,
07/20/21,19:45:00,24.931,,,,
07/20/21,20:00:00,24.931,,,,
07/20/21,20:15:00,24.931,,,,
07/20/21,20:30:00,24.835,,,,
07/20/21,20:45:00,24.931,,,,
07/20/21,21:00:00,24.931,,,,
07/20/21,21:15:00,24.931,,,,
07/20/21,21:30:00,24.835,,,,
07/20/21,21:45:00,24.835,,,,
07/20/21,22:00:00,24.835,,,,
07/20/21,22:15:00,24.738,,,,
07/20/21,22:30:00,24.641,,,,
07/20/21,22:45:00,24.545,,,,
07/20/21,23:00:00,24.545,,,,
07/20/21,23:15:00,24.448,,,,
07/20/21,23:30:00,24.351,,,,
07/20/21,23:45:00,24.255,,,,
07/21/21,00:00:00,24.158,,,,
07/21/21,00:15:00,24.158,,,,
07/21/21,00:30:00,24.062,,,,
07/21/21,00:45:00,23.966,,,,
07/21/21,01:00:00,23.869,,,,
07/21/21,01:15:00,23.773,,,,
07/21/21,01:30:00,23.677,,,,
07/21/21,01:45:00,23.677,,,,
07/21/21,02:00:00,23.581,,,,
07/21/21,02:15:00,23.581,,,,
07/21/21,02:30:00,23.484,,,,
07/21/21,02:45:00,23.388,,,,
07/21/21,03:00:00,23.388,,,,
07/21/21,03:15:00,23.292,,,,
07/21/21,03:30:00,23.292,,,,
07/21/21,03:45:00,23.196,,,,
07/21/21,04:00:00,23.196,,,,
07/21/21,04:15:00,23.196,,,,
07/21/21,04:30:00,23.100,,,,
07/21/21,04:45:00,23.004,,,,
07/21/21,05:00:00,23.004,,,,
07/21/21,05:15:00,22.908,,,,
07/21/21,05:30:00,22.908,,,,
07/21/21,05:45:00,22.812,,,,
07/21/21,06:00:00,22.717,,,,
07/21/21,06:15:00,22.717,,,,
07/21/21,06:30:00,22.717,,,,
07/21/21,06:45:00,22.525,,,,
07/21/21,07:00:00,22.142,,,,
07/21/21,07:15:00,21.760,,,,
07/21/21,07:30:00,21.569,,,,
07/21/21,07:45:00,21.473,,,,
07/21/21,08:00:00,16.523,,,,
07/21/21,08:15:00,15.855,,,,
07/21/21,08:30:00,16.332,,,,
07/21/21,08:45:00,16.999,,,,
07/21/21,09:00:00,17.189,,,,
07/21/21,09:15:00,18.045,,,,
07/21/21,09:30:00,16.713,,,,
07/21/21,09:45:00,17.475,,,,
07/21/21,10:00:00,19.282,,,,
07/21/21,10:15:00,17.284,,,,
07/21/21,10:30:00,17.950,,,,
07/21/21,10:45:00,18.236,,,,
07/21/21,11:00:00,18.331,,,,
07/21/21,11:15:00,18.045,,,,
07/21/21,11:30:00,18.140,,,,
07/21/21,11:45:00,18.236,,,,
07/21/21,12:00:00,18.140,,,,
07/21/21,12:15:00,18.331,,,,
07/21/21,12:30:00,18.331,,,,
07/21/21,12:45:00,17.760,,,,
07/21/21,13:00:00,17.379,,,,
07/21/21,13:15:00,16.999,,,,
07/21/21,13:30:00,16.523,,,,
07/21/21,13:45:00,15.664,,,,
07/21/21,14:00:00,14.900,,,,
07/21/21,14:15:00,14.517,,,,
07/21/21,14:30:00,14.325,,,,
07/21/21,14:45:00,14.230,,,,
07/21/21,15:00:00,14.134,,,,
07/21/21,15:15:00,14.230,,,,
07/21/21,15:30:00,14.325,,,,
07/21/21,15:45:00,14.421,,,,
07/21/21,16:00:00,14.517,,,,
07/21/21,16:15:00,14.421,,,,
07/21/21,16:30:00,14.325,,,,
07/21/21,16:45:00,14.134,,,,
07/21/21,17:00:00,14.038,,,,
07/21/21,17:15:00,13.942,,,,
07/21/21,17:30:00,13.942,,,,
07/21/21,17:45:00,13.942,,,,
07/21/21,18:00:00,14.038,,,,
07/21/21,18:15:00,13.942,,,,
07/21/21,18:30:00,13.942,,,,
07/21/21,18:45:00,14.038,,,,
07/21/21,19:00:00,14.038,,,,
07/21/21,19:15:00,14.038,,,,
07/21/21,19:30:00,14.038,,,,
07/21/21,19:45:00,14.038,,,,
07/21/21,20:00:00,14.038,,,,
07/21/21,20:15:00,14.038,,,,
07/21/21,20:30:00,14.038,,,,
07/21/21,20:45:00,14.038,,,,
07/21/21,21:00:00,14.134,,,,
07/21/21,21:15:00,14.038,,,,
07/21/21,21:30:00,14.038,,,,
07/21/21,21:45:00,14.134,,,,
07/21/21,22:00:00,14.134,,,,
07/21/21,22:15:00,14.134,,,,
07/21/21,22:30:00,14.134,,,,
07/21/21,22:45:00,14.134,,,,
07/21/21,23:00:00,14.134,,,,
07/21/21,23:15:00,14.134,,,,
07/21/21,23:30:00,14.134,,,,
07/21/21,23:45:00,14.134,,,,
07/22/21,00:00:00,14.134,,,,
07/22/21,00:15:00,14.134,,,,
07/22/21,00:30:00,14.134,,,,
07/22/21,00:45:00,14.134,,,,
07/22/21,01:00:00,14.134,,,,
07/22/21,01:15:00,14.038,,,,
07/22/21,01:30:00,14.038,,,,
07/22/21,01:45:00,14.038,,,,
07/22/21,02:00:00,14.038,,,,
07/22/21,02:15:00,14.038,,,,
07/22/21,02:30:00,14.038,,,,
07/22/21,02:45:00,13.942,,,,
07/22/21,03:00:00,13.942,,,,
07/22/21,03:15:00,13.942,,,,
07/22/21,03:30:00,14.038,,,,
07/22/21,03:45:00,13.942,,,,
07/22/21,04:00:00,13.942,,,,
07/22/21,04:15:00,13.942,,,,
07/22/21,04:30:00,13.942,,,,
07/22/21,04:45:00,13.942,,,,
07/22/21,05:00:00,14.038,,,,
07/22/21,05:15:00,14.230,,,,
07/22/21,05:30:00,14.613,,,,
07/22/21,05:45:00,14.900,,,,
07/22/21,06:00:00,15.091,,,,
07/22/21,06:15:00,15.187,,,,
07/22/21,06:30:00,15.569,,,,
07/22/21,06:45:00,15.760,,,,
07/22/21,07:00:00,15.760,,,,
07/22/21,07:15:00,15.855,,,,
07/22/21,07:30:00,15.951,,,,
07/22/21,07:45:00,16.046,,,,
07/22/21,08:00:00,16.141,,,,
07/22/21,08:15:00,16.332,,,,
07/22/21,08:30:00,16.427,,,,
07/22/21,08:45:00,16.618,,,,
07/22/21,09:00:00,16.808,,,,
07/22/21,09:15:00,16.903,,,,
07/22/21,09:30:00,17.094,,,,
07/22/21,09:45:00,17.665,,,,
07/22/21,10:00:00,18.236,,,,
07/22/21,10:15:00,18.711,,,,
07/22/21,10:30:00,18.806,,,,
07/22/21,10:45:00,19.282,,,,
07/22/21,11:00:00,19.758,,,,
07/22/21,11:15:00,20.234,,,,
07/22/21,11:30:00,20.901,,,,
07/22/21,11:45:00,21.282,,,,
07/22/21,12:00:00,21.664,,,,
07/22/21,12:15:00,21.855,,,,
07/22/21,12:30:00,21.951,,,,
07/22/21,12:45:00,21.378,,,,
07/22/21,13:00:00,20.043,,,,
07/22/21,13:15:00,19.282,,,,
07/22/21,13:30:00,18.521,,,,
07/22/21,13:45:00,17.379,,,,
07/22/21,14:00:00,16.618,,,,
07/22/21,14:15:00,16.046,,,,
07/22/21,14:30:00,14.996,,,,
07/22/21,14:45:00,14.038,,,,
07/22/21,15:00:00,13.654,,,,
07/22/21,15:15:00,13.558,,,,
07/22/21,15:30:00,13.461,,,,
07/22/21,15:45:00,13.269,,,,
07/22/21,16:00:00,13.269,,,,
07/22/21,16:15:00,13.269,,,,
07/22/21,16:30:00,13.461,,,,
07/22/21,16:45:00,13.654,,,,
07/22/21,17:00:00,13.846,,,,
07/22/21,17:15:00,13.654,,,,
07/22/21,17:30:00,13.558,,,,
07/22/21,17:45:00,13.558,,,,
07/22/21,18:00:00,13.558,,,,
07/22/21,18:15:00,13.558,,,,
07/22/21,18:30:00,13.654,,,,
07/22/21,18:45:00,13.654,,,,
07/22/21,19:00:00,13.654,,,,
07/22/21,19:15:00,13.654,,,,
07/22/21,19:30:00,13.654,,,,
07/22/21,19:45:00,13.654,,,,
07/22/21,20:00:00,13.654,,,,
07/22/21,20:15:00,13.654,,,,
07/22/21,20:30:00,13.654,,,,
07/22/21,20:45:00,13.654,,,,
07/22/21,21:00:00,13.654,,,,
07/22/21,21:15:00,13.654,,,,
07/22/21,21:30:00,13.654,,,,
07/22/21,21:45:00,13.654,,,,
07/22/21,22:00:00,13.654,,,,
07/22/21,22:15:00,13.654,,,,
07/22/21,22:30:00,13.750,,,,
07/22/21,22:45:00,13.750,,,,
07/22/21,23:00:00,13.750,,,,
07/22/21,23:15:00,13.750,,,,
07/22/21,23:30:00,13.750,,,,
07/22/21,23:45:00,13.750,,,,
07/23/21,00:00:00,13.750,,,,
07/23/21,00:15:00,13.750,,,,
07/23/21,00:30:00,13.750,,,,
07/23/21,00:45:00,13.750,,,,
07/23/21,01:00:00,13.750,,,,
07/23/21,01:15:00,13.750,,,,
07/23/21,01:30:00,13.846,,,,
07/23/21,01:45:00,13.846,,,,
07/23/21,02:00:00,13.750,,,,
07/23/21,02:15:00,13.846,,,,
07/23/21,02:30:00,13.846,,,,
07/23/21,02:45:00,13.846,,,,
07/23/21,03:00:00,13.750,,,,
07/23/21,03:15:00,13.750,,,,
07/23/21,03:30:00,13.846,,,,
07/23/21,03:45:00,13.846,,,,
07/23/21,04:00:00,13.846,,,,
07/23/21,04:15:00,13.846,,,,
07/23/21,04:30:00,13.846,,,,
07/23/21,04:45:00,13.846,,,,
07/23/21,05:00:00,13.846,,,,
07/23/21,05:15:00,13.846,,,,
07/23/21,05:30:00,13.846,,,,
07/23/21,05:45:00,14.038,,,,
07/23/21,06:00:00,14.325,,,,
07/23/21,06:15:00,14.804,,,,
07/23/21,06:30:00,14.996,,,,
07/23/21,06:45:00,15.091,,,,
07/23/21,07:00:00,15.282,,,,
07/23/21,07:15:00,15.569,,,,
07/23/21,07:30:00,15.664,,,,
07/23/21,07:45:00,15.760,,,,
07/23/21,08:00:00,15.855,,,,
07/23/21,08:15:00,15.951,,,,
07/23/21,08:30:00,15.951,,,,
07/23/21,08:45:00,16.046,,,,
07/23/21,09:00:00,16.141,,,,
07/23/21,09:15:00,16.427,,,,
07/23/21,09:30:00,16.808,,,,
07/23/21,09:45:00,16.999,,,,
07/23/21,10:00:00,17.284,,,,
07/23/21,10:15:00,17.950,,,,
07/23/21,10:30:00,18.426,,,,
07/23/21,10:45:00,18.521,,,,
07/23/21,11:00:00,18.711,,,,
07/23/21,11:15:00,19.187,,,,
07/23/21,11:30:00,19.662,,,,
07/23/21,11:45:00,20.234,,,,
07/23/21,12:00:00,20.901,,,,
07/23/21,12:15:00,21.569,,,,
07/23/21,12:30:00,22.142,,,,
07/23/21,12:45:00,22.525,,,,
07/23/21,13:00:00,23.004,,,,
07/23/21,13:15:00,23.388,,,,
07/23/21,13:30:00,23.773,,,,
07/23/21,13:45:00,22.908,,,,
07/23/21,14:00:00,19.948,,,,
07/23/21,14:15:00,21.187,,,,
07/23/21,14:30:00,17.760,,,,
07/23/21,14:45:00,16.808,,,,
07/23/21,15:00:00,16.141,,,,
07/23/21,15:15:00,15.091,,,,
07/23/21,15:30:00,13.846,,,,
07/23/21,15:45:00,13.269,,,,
07/23/21,16:00:00,13.173,,,,
07/23/21,16:15:00,13.076,,,,
07/23/21,16:30:00,12.980,,,,
07/23/21,16:45:00,13.076,,,,
07/23/21,17:00:00,13.076,,,,
07/23/21,17:15:00,13.269,,,,
07/23/21,17:30:00,13.461,,,,
07/23/21,17:45:00,13.558,,,,
07/23/21,18:00:00,13.461,,,,
07/23/21,18:15:00,13.269,,,,
07/23/21,18:30:00,13.173,,,,
07/23/21,18:45:00,13.076,,,,
07/23/21,19:00:00,13.076,,,,
07/23/21,19:15:00,13.076,,,,
07/23/21,19:30:00,13.076,,,,
07/23/21,19:45:00,13.173,,,,
07/23/21,20:00:00,13.173,,,,
07/23/21,20:15:00,13.173,,,,
07/23/21,20:30:00,13.269,,,,
07/23/21,20:45:00,13.269,,,,
07/23/21,21:00:00,13.269,,,,
07/23/21,21:15:00,13.269,,,,
07/23/21,21:30:00,13.269,,,,
07/23/21,21:45:00,13.269,,,,
07/23/21,22:00:00,13.365,,,,
07/23/21,22:15:00,13.365,,,,
07/23/21,22:30:00,13.365,,,,
07/23/21,22:45:00,13.365,,,,
07/23/21,23:00:00,13.365,,,,
07/23/21,23:15:00,13.365,,,,
07/23/21,23:30:00,13.365,,,,
07/23/21,23:45:00,13.461,,,,
07/24/21,00:00:00,13.461,,,,
07/24/21,00:15:00,13.365,,,,
07/24/21,00:30:00,13.365,,,,
07/24/21,00:45:00,13.365,,,,
07/24/21,01:00:00,13.461,,,,
07/24/21,01:15:00,13.461,,,,
07/24/21,01:30:00,13.461,,,,
07/24/21,01:45:00,13.461,,,,
07/24/21,02:00:00,13.461,,,,
07/24/21,02:15:00,13.461,,,,
07/24/21,02:30:00,13.461,,,,
07/24/21,02:45:00,13.461,,,,
07/24/21,03:00:00,13.461,,,,
07/24/21,03:15:00,13.365,,,,
07/24/21,03:30:00,13.365,,,,
07/24/21,03:45:00,13.365,,,,
07/24/21,04:00:00,13.461,,,,
07/24/21,04:15:00,13.461,,,,
07/24/21,04:30:00,13.461,,,,
07/24/21,04:45:00,13.461,,,,
07/24/21,05:00:00,13.461,,,,
07/24/21,05:15:00,13.461,,,,
07/24/21,05:30:00,13.461,,,,
07/24/21,05:45:00,13.461,,,,
07/24/21,06:00:00,13.461,,,,
07/24/21,06:15:00,13.461,,,,
07/24/21,06:30:00,13.558,,,,
07/24/21,06:45:00,13.558,,,,
07/24/21,07:00:00,14.038,,,,
07/24/21,07:15:00,14.613,,,,
07/24/21,07:30:00,14.709,,,,
07/24/21,07:45:00,14.709,,,,
07/24/21,08:00:00,14.900,,,,
07/24/21,08:15:00,15.091,,,,
07/24/21,08:30:00,15.187,,,,
07/24/21,08:45:00,15.378,,,,
07/24/21,09:00:00,15.569,,,,
07/24/21,09:15:00,15.664,,,,
07/24/21,09:30:00,15.760,,,,
07/24/21,09:45:00,16.046,,,,
07/24/21,10:00:00,16.427,,,,
07/24/21,10:15:00,16.999,,,,
07/24/21,10:30:00,17.379,,,,
07/24/21,10:45:00,17.950,,,,
07/24/21,11:00:00,18.806,,,,
07/24/21,11:15:00,19.282,,,,
07/24/21,11:30:00,19.472,,,,
07/24/21,11:45:00,19.758,,,,
07/24/21,12:00:00,20.329,,,,
07/24/21,12:15:00,20.901,,,,
07/24/21,12:30:00,21.569,,,,
07/24/21,12:45:00,22.142,,,,
07/24/21,13:00:00,22.717,,,,
07/24/21,13:15:00,23.292,,,,
07/24/21,13:30:00,23.773,,,,
07/24/21,13:45:00,24.158,,,,
07/24/21,14:00:00,24.351,,,,
07/24/21,14:15:00,23.292,,,,
07/24/21,14:30:00,22.238,,,,
07/24/21,14:45:00,19.377,,,,
07/24/21,15:00:00,19.853,,,,
07/24/21,15:15:00,17.094,,,,
07/24/21,15:30:00,16.523,,,,
07/24/21,15:45:00,16.141,,,,
07/24/21,16:00:00,15.091,,,,
07/24/21,16:15:00,14.230,,,,
07/24/21,16:30:00,13.846,,,,
07/24/21,16:45:00,13.750,,,,
07/24/21,17:00:00,13.461,,,,
07/24/21,17:15:00,13.558,,,,
07/24/21,17:30:00,13.461,,,,
07/24/21,17:45:00,13.558,,,,
07/24/21,18:00:00,13.846,,,,
07/24/21,18:15:00,14.134,,,,
07/24/21,18:30:00,13.654,,,,
07/24/21,18:45:00,13.269,,,,
07/24/21,19:00:00,13.076,,,,
07/24/21,19:15:00,13.076,,,,
07/24/21,19:30:00,13.076,,,,
07/24/21,19:45:00,13.076,,,,
07/24/21,20:00:00,13.076,,,,
07/24/21,20:15:00,13.076,,,,
07/24/21,20:30:00,13.076,,,,
07/24/21,20:45:00,13.076,,,,
07/24/21,21:00:00,13.173,,,,
07/24/21,21:15:00,13.173,,,,
07/24/21,21:30:00,13.173,,,,
07/24/21,21:45:00,13.269,,,,
07/24/21,22:00:00,13.269,,,,
07/24/21,22:15:00,13.269,,,,
07/24/21,22:30:00,13.269,,,,
07/24/21,22:45:00,13.269,,,,
07/24/21,23:00:00,13.269,,,,
07/24/21,23:15:00,13.365,,,,
07/24/21,23:30:00,13.365,,,,
07/24/21,23:45:00,13.365,,,,
07/25/21,00:00:00,13.365,,,,
07/25/21,00:15:00,13.365,,,,
07/25/21,00:30:00,13.365,,,,
07/25/21,00:45:00,13.365,,,,
07/25/21,01:00:00,13.365,,,,
07/25/21,01:15:00,13.461,,,,
07/25/21,01:30:00,13.461,,,,
07/25/21,01:45:00,13.461,,,,
07/25/21,02:00:00,13.461,,,,
07/25/21,02:15:00,13.461,,,,
07/25/21,02:30:00,13.461,,,,
07/25/21,02:45:00,13.461,,,,
07/25/21,03:00:00,13.461,,,,
07/25/21,03:15:00,13.461,,,,
07/25/21,03:30:00,13.558,,,,
07/25/21,03:45:00,13.558,,,,
07/25/21,04:00:00,13.558,,,,
07/25/21,04:15:00,13.558,,,,
07/25/21,04:30:00,13.558,,,,
07/25/21,04:45:00,13.558,,,,
07/25/21,05:00:00,13.558,,,,
07/25/21,05:15:00,13.558,,,,
07/25/21,05:30:00,13.558,,,,
07/25/21,05:45:00,13.654,,,,
07/25/21,06:00:00,13.654,,,,
07/25/21,06:15:00,13.654,,,,
07/25/21,06:30:00,13.750,,,,
07/25/21,06:45:00,13.846,,,,
07/25/21,07:00:00,14.230,,,,
07/25/21,07:15:00,14.709,,,,
07/25/21,07:30:00,15.378,,,,
07/25/21,07:45:00,15.569,,,,
07/25/21,08:00:00,15.664,,,,
07/25/21,08:15:00,15.855,,,,
07/25/21,08:30:00,16.141,,,,
07/25/21,08:45:00,16.523,,,,
07/25/21,09:00:00,16.523,,,,
07/25/21,09:15:00,16.427,,,,
07/25/21,09:30:00,16.523,,,,
07/25/21,09:45:00,16.713,,,,
07/25/21,10:00:00,16.903,,,,
07/25/21,10:15:00,16.999,,,,
07/25/21,10:30:00,17.189,,,,
07/25/21,10:45:00,17.475,,,,
07/25/21,11:00:00,17.760,,,,
07/25/21,11:15:00,18.045,,,,
07/25/21,11:30:00,18.426,,,,
07/25/21,11:45:00,18.996,,,,
07/25/21,12:00:00,19.853,,,,
07/25/21,12:15:00,20.424,,,,
07/25/21,12:30:00,20.615,,,,
07/25/21,12:45:00,20.996,,,,
07/25/21,13:00:00,21.378,,,,
07/25/21,13:15:00,21.855,,,,
07/25/21,13:30:00,22.429,,,,
07/25/21,13:45:00,23.100,,,,
07/25/21,14:00:00,23.581,,,,
07/25/21,14:15:00,23.966,,,,
07/25/21,14:30:00,24.158,,,,
07/25/21,14:45:00,24.158,,,,
07/25/21,15:00:00,23.100,,,,
07/25/21,15:15:00,20.615,,,,
07/25/21,15:30:00,21.091,,,,
07/25/21,15:45:00,18.426,,,,
07/25/21,16:00:00,17.570,,,,
07/25/21,16:15:00,16.713,,,,
07/25/21,16:30:00,16.046,,,,
07/25/21,16:45:00,14.709,,,,
07/25/21,17:00:00,13.750,,,,
07/25/21,17:15:00,13.365,,,,
07/25/21,17:30:00,13.173,,,,
07/25/21,17:45:00,13.076,,,,
07/25/21,18:00:00,13.365,,,,
07/25/21,18:15:00,13.365,,,,
07/25/21,18:30:00,13.558,,,,
07/25/21,18:45:00,14.038,,,,
07/25/21,19:00:00,14.134,,,,
07/25/21,19:15:00,13.365,,,,
07/25/21,19:30:00,12.980,,,,
07/25/21,19:45:00,12.980,,,,
07/25/21,20:00:00,12.980,,,,
07/25/21,20:15:00,12.980,,,,
07/25/21,20:30:00,13.076,,,,
07/25/21,20:45:00,13.076,,,,
07/25/21,21:00:00,13.076,,,,
07/25/21,21:15:00,13.076,,,,
07/25/21,21:30:00,13.076,,,,
07/25/21,21:45:00,13.173,,,,
07/25/21,22:00:00,13.173,,,,
07/25/21,22:15:00,13.269,,,,
07/25/21,22:30:00,13.365,,,,
07/25/21,22:45:00,13.461,,,,
07/25/21,23:00:00,13.654,,,,
07/25/21,23:15:00,13.846,,,,
07/25/21,23:30:00,13.942,,,,
07/25/21,23:45:00,13.942,,,,
07/26/21,00:00:00,13.942,,,,
07/26/21,00:15:00,14.038,,,,
07/26/21,00:30:00,14.038,,,,
07/26/21,00:45:00,14.038,,,,
07/26/21,01:00:00,13.942,,,,
07/26/21,01:15:00,14.038,,,,
07/26/21,01:30:00,14.038,,,,
07/26/21,01:45:00,14.038,,,,
07/26/21,02:00:00,14.134,,,,
07/26/21,02:15:00,14.134,,,,
07/26/21,02:30:00,14.134,,,,
07/26/21,02:45:00,14.038,,,,
07/26/21,03:00:00,14.038,,,,
07/26/21,03:15:00,13.942,,,,
07/26/21,03:30:00,13.750,,,,
07/26/21,03:45:00,13.750,,,,
07/26/21,04:00:00,13.750,,,,
07/26/21,04:15:00,13.558,,,,
07/26/21,04:30:00,13.558,,,,
07/26/21,04:45:00,13.558,,,,
07/26/21,05:00:00,13.461,,,,
07/26/21,05:15:00,13.365,,,,
07/26/21,05:30:00,13.365,,,,
07/26/21,05:45:00,13.365,,,,
07/26/21,06:00:00,13.365,,,,
07/26/21,06:15:00,13.365,,,,
07/26/21,06:30:00,13.461,,,,
07/26/21,06:45:00,13.461,,,,
07/26/21,07:00:00,13.558,,,,
07/26/21,07:15:00,13.558,,,,
07/26/21,07:30:00,13.654,,,,
07/26/21,07:45:00,13.750,,,,
07/26/21,08:00:00,13.942,,,,
07/26/21,08:15:00,14.421,,,,
07/26/21,08:30:00,14.900,,,,
07/26/21,08:45:00,15.091,,,,
07/26/21,09:00:00,15.378,,,,
07/26/21,09:15:00,15.664,,,,
07/26/21,09:30:00,15.951,,,,
07/26/21,09:45:00,16.046,,,,
07/26/21,10:00:00,16.332,,,,
07/26/21,10:15:00,16.808,,,,
07/26/21,10:30:00,17.094,,,,
07/26/21,10:45:00,17.284,,,,
07/26/21,11:00:00,17.570,,,,
07/26/21,11:15:00,17.950,,,,
07/26/21,11:30:00,18.331,,,,
07/26/21,11:45:00,18.806,,,,
07/26/21,12:00:00,19.282,,,,
07/26/21,12:15:00,19.377,,,,
07/26/21,12:30:00,19.472,,,,
07/26/21,12:45:00,20.234,,,,
07/26/21,13:00:00,21.091,,,,
